name;date;year;driver;forename
"Japanese Grand Prix";"1987-11-01";1987;"Berger";"Gerhard"
"Australian Grand Prix";"1987-11-15";1987;"Berger";"Gerhard"
"Italian Grand Prix";"1988-09-11";1988;"Berger";"Gerhard"
"Brazilian Grand Prix";"1989-03-26";1989;"Mansell";"Nigel"
"Hungarian Grand Prix";"1989-08-13";1989;"Mansell";"Nigel"
"Portuguese Grand Prix";"1989-09-24";1989;"Berger";"Gerhard"
"Brazilian Grand Prix";"1990-03-25";1990;"Prost";"Alain"
"Mexican Grand Prix";"1990-06-24";1990;"Prost";"Alain"
"French Grand Prix";"1990-07-08";1990;"Prost";"Alain"
"British Grand Prix";"1990-07-15";1990;"Prost";"Alain"
"Portuguese Grand Prix";"1990-09-23";1990;"Mansell";"Nigel"
"Spanish Grand Prix";"1990-09-30";1990;"Prost";"Alain"
"German Grand Prix";"1994-07-31";1994;"Berger";"Gerhard"
"Canadian Grand Prix";"1995-06-11";1995;"Alesi";"Jean"
"Spanish Grand Prix";"1996-06-02";1996;"Schumacher";"Michael"
"Belgian Grand Prix";"1996-08-25";1996;"Schumacher";"Michael"
"Italian Grand Prix";"1996-09-08";1996;"Schumacher";"Michael"
"Monaco Grand Prix";"1997-05-11";1997;"Schumacher";"Michael"
"Canadian Grand Prix";"1997-06-15";1997;"Schumacher";"Michael"
"French Grand Prix";"1997-06-29";1997;"Schumacher";"Michael"
"Belgian Grand Prix";"1997-08-24";1997;"Schumacher";"Michael"
"Japanese Grand Prix";"1997-10-12";1997;"Schumacher";"Michael"
"Argentine Grand Prix";"1998-04-12";1998;"Schumacher";"Michael"
"Canadian Grand Prix";"1998-06-07";1998;"Schumacher";"Michael"
"French Grand Prix";"1998-06-28";1998;"Schumacher";"Michael"
"British Grand Prix";"1998-07-12";1998;"Schumacher";"Michael"
"Hungarian Grand Prix";"1998-08-16";1998;"Schumacher";"Michael"
"Italian Grand Prix";"1998-09-13";1998;"Schumacher";"Michael"
"Australian Grand Prix";"1999-03-07";1999;"Irvine";"Eddie"
"San Marino Grand Prix";"1999-05-02";1999;"Schumacher";"Michael"
"Monaco Grand Prix";"1999-05-16";1999;"Schumacher";"Michael"
"Austrian Grand Prix";"1999-07-25";1999;"Irvine";"Eddie"
"German Grand Prix";"1999-08-01";1999;"Irvine";"Eddie"
"Malaysian Grand Prix";"1999-10-17";1999;"Irvine";"Eddie"
"Australian Grand Prix";"2000-03-12";2000;"Schumacher";"Michael"
"Brazilian Grand Prix";"2000-03-26";2000;"Schumacher";"Michael"
"San Marino Grand Prix";"2000-04-09";2000;"Schumacher";"Michael"
"European Grand Prix";"2000-05-21";2000;"Schumacher";"Michael"
"Canadian Grand Prix";"2000-06-18";2000;"Schumacher";"Michael"
"German Grand Prix";"2000-07-30";2000;"Barrichello";"Rubens"
"Italian Grand Prix";"2000-09-10";2000;"Schumacher";"Michael"
"United States Grand Prix";"2000-09-24";2000;"Schumacher";"Michael"
"Japanese Grand Prix";"2000-10-08";2000;"Schumacher";"Michael"
"Malaysian Grand Prix";"2000-10-22";2000;"Schumacher";"Michael"
"Australian Grand Prix";"2001-03-04";2001;"Schumacher";"Michael"
"Malaysian Grand Prix";"2001-03-18";2001;"Schumacher";"Michael"
"Spanish Grand Prix";"2001-04-29";2001;"Schumacher";"Michael"
"Monaco Grand Prix";"2001-05-27";2001;"Schumacher";"Michael"
"European Grand Prix";"2001-06-24";2001;"Schumacher";"Michael"
"French Grand Prix";"2001-07-01";2001;"Schumacher";"Michael"
"Hungarian Grand Prix";"2001-08-19";2001;"Schumacher";"Michael"
"Belgian Grand Prix";"2001-09-02";2001;"Schumacher";"Michael"
"Japanese Grand Prix";"2001-10-14";2001;"Schumacher";"Michael"
"Australian Grand Prix";"2002-03-03";2002;"Schumacher";"Michael"
"Brazilian Grand Prix";"2002-03-31";2002;"Schumacher";"Michael"
"San Marino Grand Prix";"2002-04-14";2002;"Schumacher";"Michael"
"Spanish Grand Prix";"2002-04-28";2002;"Schumacher";"Michael"
"Austrian Grand Prix";"2002-05-12";2002;"Schumacher";"Michael"
"Canadian Grand Prix";"2002-06-09";2002;"Schumacher";"Michael"
"European Grand Prix";"2002-06-23";2002;"Barrichello";"Rubens"
"British Grand Prix";"2002-07-07";2002;"Schumacher";"Michael"
"French Grand Prix";"2002-07-21";2002;"Schumacher";"Michael"
"German Grand Prix";"2002-07-28";2002;"Schumacher";"Michael"
"Hungarian Grand Prix";"2002-08-18";2002;"Barrichello";"Rubens"
"Belgian Grand Prix";"2002-09-01";2002;"Schumacher";"Michael"
"Italian Grand Prix";"2002-09-15";2002;"Barrichello";"Rubens"
"United States Grand Prix";"2002-09-29";2002;"Barrichello";"Rubens"
"Japanese Grand Prix";"2002-10-13";2002;"Schumacher";"Michael"
"San Marino Grand Prix";"2003-04-20";2003;"Schumacher";"Michael"
"Spanish Grand Prix";"2003-05-04";2003;"Schumacher";"Michael"
"Austrian Grand Prix";"2003-05-18";2003;"Schumacher";"Michael"
"Canadian Grand Prix";"2003-06-15";2003;"Schumacher";"Michael"
"British Grand Prix";"2003-07-20";2003;"Barrichello";"Rubens"
"Italian Grand Prix";"2003-09-14";2003;"Schumacher";"Michael"
"United States Grand Prix";"2003-09-28";2003;"Schumacher";"Michael"
"Japanese Grand Prix";"2003-10-12";2003;"Barrichello";"Rubens"
"Australian Grand Prix";"2004-03-07";2004;"Schumacher";"Michael"
"Malaysian Grand Prix";"2004-03-21";2004;"Schumacher";"Michael"
"Bahrain Grand Prix";"2004-04-04";2004;"Schumacher";"Michael"
"San Marino Grand Prix";"2004-04-25";2004;"Schumacher";"Michael"
"Spanish Grand Prix";"2004-05-09";2004;"Schumacher";"Michael"
"European Grand Prix";"2004-05-30";2004;"Schumacher";"Michael"
"Canadian Grand Prix";"2004-06-13";2004;"Schumacher";"Michael"
"United States Grand Prix";"2004-06-20";2004;"Schumacher";"Michael"
"French Grand Prix";"2004-07-04";2004;"Schumacher";"Michael"
"British Grand Prix";"2004-07-11";2004;"Schumacher";"Michael"
"German Grand Prix";"2004-07-25";2004;"Schumacher";"Michael"
"Hungarian Grand Prix";"2004-08-15";2004;"Schumacher";"Michael"
"Italian Grand Prix";"2004-09-12";2004;"Barrichello";"Rubens"
"Chinese Grand Prix";"2004-09-26";2004;"Barrichello";"Rubens"
"Japanese Grand Prix";"2004-10-10";2004;"Schumacher";"Michael"
"United States Grand Prix";"2005-06-19";2005;"Schumacher";"Michael"
"San Marino Grand Prix";"2006-04-23";2006;"Schumacher";"Michael"
