name
"ATS"
"Alfa Romeo"
"Andrea Moda"
"Arzani-Volpini"
"Behra-Porsche"
"Benetton"
"Cisitalia"
"Coloni"
"Dallara"
"De Tomaso"
"De Tomaso-Alfa Romeo"
"De Tomaso-Ferrari"
"De Tomaso-Osca"
"Euro Brun"
"Ferrari"
"Fondmetal"
"Forti"
"Lambo"
"Lancia"
"Life"
"Maserati"
"Merzario"
"Milano"
"Minardi"
"OSCA"
"Osella"
"Tec-Mec"
"Tecno"
"Toro Rosso"
